4. Sólo incluye las Inversiones Financieras de la Caja de Seguro Social.,,,,,,,,
MINISTERIO DE ECONOMÍA Y FINANZAS,,,,,,,,
DIRECCIÓN DE PRESUPUESTO DE LA NACIÓN,,,,,,,,
EJECUCIÓN PRELIMINAR DEL PRESUPUESTO MODIFICADO DE FUNCIONAMIENTO E INVERSIONES                                                         ,,,,,,,,
"DEL SECTOR PÚBLICO, SIN TRANSFERENCIAS INTERINSTITUCIONALES AL 31 DE AGOSTO DE 2019",,,,,,,,
(En Millones de Balboas),,,,,,,,
,,,,,,,,
Detalle,Funcionamiento,,,,Inversión,,,
Salud,"1,164.7","1,163.5",716.8,61.6%,376.8,381.6,191.6,50.2%
Seguridad Pública,760.4,759.3,480.6,63.3%,44.6,49.2,32.4,65.8%
Trabajo y Desarrollo Laboral,40.1,40.4,21.8,54.0%,5.3,5.6,2.6,45.8%
Tribunal Administrativo de la F.P.,2.3,2.3,0.0,0.0%,-,-,-,-
Tribunal Administrativo Tributario,3.2,3.2,1.8,56.5%,-,-,-,-
Tribunal de Cuentas,3.7,3.7,2.2,60.3%,0.2,0.2,0.1,54.4%
Tribunal Electoral,134.1,132.9,87.0,65.5%,9.9,12.9,5.1,39.5%
Vivienda y Ordenamiento Territorial,20.6,20.6,11.1,54.0%,333.9,326.7,214.0,65.5%
Servicio de la Deuda Pública,"2,557.8","2,523.1","2,047.9",81.2%,-,-,-,-
Resto del Sector Púbico No Financiero,"5,816.2","5,831.9","3,215.1",55.1%,"2,408.2","2,401.8",600.5,25.0%
ACODECO,11.3,11.3,6.3,55.6%,0.7,0.7,0.2,21.0%
Aduanas,37.8,40.2,17.3,43.0%,5.2,5.2,2.1,39.9%
Aeronáutica Civil,42.3,42.3,20.9,49.4%,20.2,20.2,8.9,44.0%
AIG,8.1,8.1,4.0,48.8%,18.9,26.7,21.9,82.0%
AMP,46.5,44.7,26.9,60.2%,92.4,64.3,25.0,38.8%
AMPYME,6.6,6.6,3.6,54.3%,5.6,5.6,1.3,23.2%
ANATI,15.6,15.6,3.6,23.1%,1.2,1.2,0.5,40.9%
ANTAI,2.5,2.5,1.0,40.4%,-,-,-,-
ARAP,9.2,9.2,3.8,41.0%,1.6,1.6,0.8,48.0%
Aseo,60.4,60.3,33.1,54.9%,17.9,17.9,9.7,54.2%
ASEP,21.7,22.9,11.5,50.3%,3.1,3.4,1.4,40.5%
ATP,12.5,12.5,4.3,34.4%,99.5,110.0,56.9,51.7%
ATTT,52.0,52.0,31.1,59.7%,26.5,26.5,10.1,38.2%
AUPSA,8.1,8.1,4.8,59.7%,0.4,0.4,0.2,45.3%
BDA,25.4,25.4,12.5,49.0%,66.6,66.9,31.6,47.3%
BHN,13.8,13.8,5.6,40.6%,9.2,9.2,0.3,3.8%
Bingos Nacionales,0.9,0.9,0.3,33.8%,-,-,-,-
Bomberos,53.3,53.4,27.5,51.4%,26.2,31.2,10.6,33.8%
Cadena de Frío,7.1,7.1,3.4,48.5%,4.3,4.3,3.6,83.4%
Caja de Seguro Social (1),"4,036.6","4,042.2","2,303.6",57.0%,393.7,390.6,63.7,16.3%
CENETIM,0.2,0.2,0.0,0.0%,-,-,-,-
Dir. General de Contrat. Públicas,3.7,3.7,2.0,54.4%,1.0,1.0,0.4,39.4%
EGESA,1.3,1.5,0.8,53.3%,0.3,0.3,0.2,68.0%
Gorgas,12.8,12.8,6.6,51.7%,15.8,15.8,3.5,21.8%
IDAAN,167.2,170.2,80.6,47.4%,234.9,226.2,88.1,38.9%
IDIAP,11.7,11.7,6.9,59.6%,7.7,7.7,4.6,60.6%
IFARHU,26.9,26.9,9.1,33.8%,377.9,378.1,11.0,2.9%
IMA,8.0,8.0,4.1,51.3%,93.5,93.5,58.3,62.3%
INAC,24.4,24.4,11.3,46.4%,23.1,23.1,6.1,26.6%
INADEH,18.5,18.5,9.7,52.5%,34.3,34.3,12.0,34.9%
INAMU,6.1,6.1,2.9,47.7%,1.0,1.0,0.4,35.6%
IPACOOP,14.5,14.5,4.2,28.9%,1.4,1.5,0.5,32.6%
IPHE,54.7,54.6,34.4,63.0%,2.0,2.1,1.2,56.7%
ITSE,8.5,8.5,3.3,39.2%,15.7,15.7,8.5,54.1%
ISA,7.5,7.5,0.0,0.0%,1.7,1.7,0.0,0.0%
Lotería Nacional de Beneficencia,124.8,123.3,65.1,52.8%,2.6,4.2,1.4,32.3%
"Metro de Panamá, S.A. (2)",60.6,60.4,27.3,45.2%,583.3,583.5,50.6,8.7%
Panamá-Pacífico,6.6,6.6,3.3,49.3%,6.0,6.0,1.5,24.4%
PANDEPORTES,23.0,23.0,12.7,55.2%,53.1,53.1,24.6,46.3%
Pasaportes,3.4,3.4,1.9,55.1%,2.2,2.7,0.5,19.6%
Registro Público,15.5,15.5,8.4,54.4%,8.0,9.7,8.0,82.7%
SENACYT,7.3,7.3,4.3,59.5%,51.5,52.0,32.1,61.8%
SENADIS,7.2,7.2,3.5,48.6%,2.0,2.0,1.1,55.6%
SENNIAF,6.4,6.6,3.9,58.9%,0.6,0.6,0.4,66.0%
SERTV,14.6,14.6,7.1,48.3%,4.3,4.7,2.2,46.8%
SIACAP,1.7,1.7,0.8,48.2%,-,-,-,-
Superintendencia de Bancos,22.5,22.3,12.9,58.0%,2.1,2.2,1.3,55.9%
Superint. de Seguros y Reaseguros,8.6,8.6,2.9,33.5%,0.8,0.8,0.0,3.9%
Superint. del Mercado de Valores,6.7,6.7,4.0,59.7%,0.1,0.1,0.0,40.2%
"Transporte Masivo de Panamá, S.A.",166.3,173.8,108.3,62.3%,14.1,16.6,3.4,20.7%
Tribunal Adm. de Contrat. Públicas,2.4,2.4,1.4,57.0%,-,-,-,-
UDELAS,25.4,25.4,14.1,55.6%,3.5,3.5,1.1,31.5%
UMIP,9.5,9.5,4.0,42.2%,5.8,5.8,1.9,32.2%
UNACHI,66.9,66.9,6.6,9.9%,7.4,7.4,1.6,21.9%
UP,265.0,265.0,151.1,57.0%,21.8,21.8,5.9,27.2%
UTP,101.7,100.1,52.8,52.7%,26.5,28.1,13.1,46.6%
Zona Franca de Barú,0.5,0.5,0.2,45.1%,0.2,0.2,0.0,0.0%
Zona Libre de Colón,32.0,33.3,17.6,52.8%,8.6,8.6,6.3,72.8%
Resto del Sector Público,971.9,971.9,444.3,45.7%,"3,360.5","3,363.6","1,929.6",57.4%
AITSA,260.3,260.3,66.2,25.4%,230.0,230.0,59.1,25.7%
BNP,333.8,333.8,156.3,46.8%,"1,102.1","1,102.1",757.8,68.8%
CA,206.8,206.8,161.5,78.1%,559.8,559.8,544.8,97.3%
Caja de Seguro Social (3),-,-,-,-,"1,301.9","1,305.1",516.8,39.6%
ENA,3.0,3.0,1.1,37.3%,-,-,-,-
ETESA,167.9,167.9,59.1,35.2%,166.7,166.7,51.1,30.7%
Fuente: Información del Consolidado de SIAFPA.,,,,* Ejecutado = suma del Gasto Devengado y el Pasivo Contingente.,,,,
Nota: Toda la información contenida en este informe es preliminar.,,,,,,,,
1. No se incluyen las inversiones financieras de la Caja de Seguro Social.,,,,,,,,
"2. Ejecución del Metro de Panamá, S.A., al 31 de julio.",,,,,,,,
3. Sólo incluye las Inversiones Financieras de la Caja de Seguro Social.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
